epoch,train_loss,val_loss,val_acc,val_macro_f1
59,0.031202,1.595624,0.755154,0.723455
60,0.030539,1.609166,0.766413,0.730038
61,0.032254,1.348347,0.783857,0.750961
62,0.030736,1.395209,0.760863,0.726620
63,0.031032,1.452811,0.787028,0.749310
64,0.029729,1.283258,0.781954,0.748477
65,0.030510,1.332932,0.779258,0.744144
66,0.030783,1.541679,0.770060,0.731107
67,0.029875,1.446738,0.765779,0.729491
68,0.028959,1.392283,0.772122,0.738325
69,0.030715,1.534321,0.729781,0.701609
70,0.029653,1.468280,0.767047,0.733580
71,0.028907,1.439670,0.777196,0.739995
72,0.029502,1.658871,0.764351,0.725977
73,0.030887,1.538609,0.735490,0.701853
74,0.028562,2.131194,0.712972,0.664922
75,0.027449,1.381738,0.786394,0.751596
76,0.028045,1.397683,0.774659,0.742513
77,0.029182,1.589428,0.762766,0.729378
78,0.028644,1.493764,0.771012,0.734185
79,0.028454,1.539280,0.760546,0.724016
80,0.028073,1.485620,0.773232,0.735373
81,0.026900,1.301175,0.796067,0.762248
82,0.026528,1.744955,0.731843,0.692152
83,0.028438,1.723329,0.746115,0.711511
84,0.027852,1.748563,0.759435,0.719025
85,0.027231,1.499223,0.767523,0.734588
86,0.026345,1.542909,0.753251,0.716133
87,0.026442,1.706253,0.743419,0.707613
88,0.028433,1.589557,0.743102,0.708280
89,0.025122,1.408295,0.777355,0.743348
90,0.026840,1.439530,0.778941,0.744064
91,0.027175,1.605233,0.759594,0.721435
92,0.026453,1.383679,0.772915,0.740180
93,0.027600,1.723906,0.758643,0.718952
94,0.026678,1.463700,0.780844,0.743794
95,0.026245,1.536133,0.772280,0.738551
96,0.026235,1.665993,0.747066,0.707893
97,0.026932,1.658546,0.739930,0.702897
98,0.026615,1.519507,0.756422,0.720211
99,0.027529,1.458341,0.762131,0.726966
100,0.027405,1.506213,0.765303,0.730112
1,1.175900,1.778143,0.449730,0.395207
2,0.780253,1.183760,0.567238,0.497349
3,0.638441,0.733123,0.727720,0.674417
4,0.553179,0.738744,0.726768,0.681929
5,0.487028,0.758440,0.765937,0.720453
6,0.432097,0.800451,0.742943,0.690771
7,0.381814,0.711624,0.758960,0.725962
8,0.334528,0.960383,0.750079,0.700535
9,0.303047,0.832116,0.748018,0.714725
10,0.274195,1.076575,0.726768,0.686387
11,0.244243,1.025563,0.758167,0.709584
12,0.221966,0.965862,0.762924,0.722763
13,0.208919,0.932626,0.758167,0.719629
14,0.186662,1.243325,0.739137,0.700627
15,0.180231,1.066109,0.749921,0.703740
16,0.167474,0.877047,0.778148,0.740078
17,0.154166,1.091315,0.743419,0.701636
18,0.140707,1.166535,0.742943,0.704105
19,0.135703,1.084955,0.768792,0.729054
20,0.127144,1.068020,0.750079,0.716345
21,0.122384,1.250916,0.742309,0.704596
22,0.114339,1.198467,0.764351,0.721935
23,0.108357,1.256087,0.738503,0.700471
24,0.102638,1.346730,0.765937,0.715606
25,0.095265,1.118879,0.774342,0.737545
26,0.092198,1.197204,0.763241,0.726707
27,0.087049,1.247517,0.784174,0.743829
28,0.083596,1.322797,0.753409,0.713743
29,0.079632,1.292047,0.764669,0.726710
30,0.077555,1.247476,0.766730,0.728947
31,0.073494,1.606229,0.725975,0.686413
32,0.070774,1.437995,0.747066,0.708002
33,0.067544,1.210283,0.767999,0.737331
34,0.066157,1.476728,0.746115,0.706767
35,0.061815,1.190620,0.779416,0.740999
36,0.061078,1.356598,0.753727,0.724112
37,0.055513,1.090964,0.789090,0.755079
38,0.056478,1.246085,0.780368,0.746596
39,0.052625,1.418019,0.730891,0.686713
40,0.053622,1.265018,0.774342,0.740684
41,0.038237,1.337140,0.768792,0.737651
42,0.035213,1.534608,0.775611,0.734283
43,0.034678,1.322171,0.779892,0.745890
44,0.034299,1.405713,0.772756,0.737619
45,0.033888,1.113330,0.794957,0.761664
